,Name,Weight3.5,Error3.5,Weight4,Error4
W1,Mayo Clinic,6.549889,0.512695,7.808241,0.692853
W10,Ortho Atlanta,2.837413,0.226592,2.687811,0.167334
W11,MSSPC,6.272314,0.53346,6.913541,0.727388
W12,Medline Plus,2.080956,0.175652,1.408101,0.106989
W13,NIH,2.439626,0.269545,2.886691,0.419928
W14,Cedars Sinai,1.629647,0.109013,1.889705,0.131609
W15,Healthline,2.682713,0.152159,2.330009,0.169352
W16,The Center,1.539545,0.147471,1.208719,0.140801
W17,Orthopedic Institute of Pennsylvania,7.987875,0.493974,5.432287,0.521366
W18,UConn,4.209379,0.220358,2.924756,0.168718
W19,CCOHS,5.632405,0.370461,3.510636,0.189155
W2,Johns Hopkins,1.986477,0.118577,2.155485,0.1399
W20,HSE,2.302583,0.188584,1.61069,0.14602
W3,Cleveland Clinic,2.881225,0.135652,2.60345,0.178335
W4,WebMD,2.686014,0.164592,2.995135,0.220498
W5,AAOS,6.015911,0.330216,5.94124,0.56215
W6,Medical News Today,2.864136,0.158087,3.085347,0.16314
W7,Knox Orthopedic,6.199888,0.336959,5.866962,0.549714
W8,Mount Sinai,2.080936,0.175653,1.408001,0.106988
W9,Family Doctor,3.447609,0.279749,3.370996,0.312708